Taxa de Cobertura de Planos de Saúde
Assistência Médica por Ano e Região
Período:Dez/2000, Dez/2001, Dez/2002, Dez/2003, Dez/2004, Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Dez/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020, Dez/2021, Mai/2022
"Ano";"Norte";"Nordeste";"Sudeste";"Sul";"Centro Oeste";"Total"
"dez/2000";4,7;8,2;29,8;13,5;11,2;18,1
"dez/2001";4,9;6,9;30,2;14,2;12,3;18,2
"dez/2002";4,7;7,1;29,8;14,4;11,8;18,0
"dez/2003";5,5;7,3;28,7;14,5;12,6;17,7
"dez/2004";6,2;7,7;29,0;15,9;13,4;18,3
"dez/2005";6,4;7,9;29,2;16,6;12,9;18,5
"dez/2006";6,7;8,0;30,2;17,9;13,4;19,2
"dez/2007";7,4;8,5;31,1;18,6;13,2;19,9
"dez/2008";8,4;9,1;33,1;20,4;13,5;21,2
"dez/2009";8,7;9,7;33,6;21,2;14,2;21,7
"dez/2010";9,3;10,3;35,1;22,7;14,9;22,8
"dez/2011";10,0;11,1;36,2;23,7;16,0;23,7
"dez/2012";10,3;11,4;36,6;23,4;17,2;24,1
"dez/2013";10,8;11,8;37,6;24,0;18,7;24,8
"dez/2014";11,3;12,3;38,5;25,3;20,4;25,7
"dez/2015";11,6;12,5;38,1;25,7;21,8;25,8
"dez/2016";10,8;12,4;36,4;25,2;22,0;24,9
"dez/2017";10,7;12,2;35,2;24,9;21,6;24,3
"dez/2018";10,5;12,2;35,1;24,9;21,2;24,2
"dez/2019";10,4;12,2;35,0;24,7;21,8;24,2
"dez/2020";10,5;12,2;34,8;24,4;22,1;24,0
"dez/2021";11,0;12,4;35,8;25,0;22,8;24,7
"mai/2022";11,1;12,8;36,9;25,9;23,6;25,5
"Total";8,9;10,3;33,8;21,3;17,4;22,3
