Taxa de Cobertura de Planos de Saúde
Assistência Médica por UF
Período:Dez/2021
"UF";"Assistência_Médica"
"Rondônia";9,6
"Acre";5,7
"Amazonas";15,4
"Roraima";6,4
"Pará";10,7
"Amapá";9,0
"Tocantins";7,9
"Maranhão";6,9
"Piauí";11,2
"Ceará";14,7
"Rio Grande do Norte";16,9
"Paraíba";11,1
"Pernambuco";15,2
"Alagoas";11,7
"Sergipe";14,9
"Bahia";11,2
"Minas Gerais";26,6
"Espírito Santo";32,6
"Rio de Janeiro";32,8
"São Paulo";41,5
"Paraná";27,4
"Santa Catarina";23,5
"Rio Grande do Sul";23,4
"Mato Grosso do Sul";24,2
"Mato Grosso";19,2
"Goiás";19,3
"Distrito Federal";34,7
"Total";24,7
